epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,23256,0.77672,1.07413,1.18405,0.556,0.42533,0.43047,0.27871,1.30879,1.82255,1.58946,0.002575,0.002575,0.002575
82,23540.3,0.78336,1.09262,1.19044,0.5428,0.42389,0.43471,0.28214,1.30773,1.81346,1.58951,0.00246363,0.00246363,0.00246363
83,23824.6,0.76338,1.06338,1.17467,0.55813,0.42488,0.44001,0.28419,1.30318,1.8066,1.57944,0.00235404,0.00235404,0.00235404
84,24109.3,0.76648,1.05506,1.17775,0.56995,0.41897,0.44358,0.28872,1.29868,1.80372,1.56987,0.00224629,0.00224629,0.00224629
85,24393.7,0.75629,1.03878,1.17312,0.57827,0.41782,0.44553,0.28993,1.28842,1.77864,1.55851,0.00214046,0.00214046,0.00214046
86,24678,0.76202,1.03678,1.17361,0.5754,0.4189,0.44915,0.29321,1.28321,1.76953,1.55899,0.00203663,0.00203663,0.00203663
87,24961.9,0.74982,1.04009,1.17188,0.59065,0.41795,0.45306,0.29731,1.28056,1.75342,1.55581,0.00193486,0.00193486,0.00193486
88,25246,0.75376,1.03338,1.17021,0.58862,0.41393,0.44879,0.29599,1.28542,1.74676,1.55812,0.00183523,0.00183523,0.00183523
89,25529.8,0.74406,1.02137,1.16839,0.58496,0.42172,0.45171,0.29743,1.28506,1.76088,1.55703,0.0017378,0.0017378,0.0017378
90,25813.3,0.74826,1.00317,1.16625,0.57865,0.41998,0.45267,0.30061,1.27867,1.75405,1.55267,0.00164264,0.00164264,0.00164264
91,26097.1,0.74521,0.9943,1.16211,0.56331,0.43042,0.45071,0.29836,1.27513,1.75542,1.553,0.00154982,0.00154982,0.00154982
92,26380.7,0.738,0.98974,1.15737,0.57789,0.42149,0.45409,0.30035,1.27775,1.74974,1.55211,0.0014594,0.0014594,0.0014594
93,26664.1,0.74031,0.98667,1.15817,0.57081,0.43383,0.45609,0.30147,1.27594,1.7532,1.54784,0.00137143,0.00137143,0.00137143
94,26947.4,0.73791,0.974,1.15555,0.57788,0.4347,0.4596,0.30263,1.27161,1.74868,1.54335,0.00128599,0.00128599,0.00128599
95,27230.5,0.72827,0.96552,1.15153,0.56244,0.43082,0.45517,0.30157,1.27409,1.75471,1.54761,0.00120313,0.00120313,0.00120313
96,27513.2,0.72061,0.95591,1.15199,0.5709,0.42067,0.45475,0.302,1.27814,1.75703,1.55131,0.0011229,0.0011229,0.0011229
97,27795.9,0.71404,0.93959,1.14547,0.57357,0.41241,0.45426,0.30179,1.27883,1.75864,1.55183,0.00104537,0.00104537,0.00104537
98,28078.8,0.71824,0.93756,1.14719,0.58266,0.41356,0.45453,0.30203,1.27861,1.75538,1.55272,0.000970575,0.000970575,0.000970575
99,28361.6,0.71999,0.94814,1.14688,0.59145,0.41635,0.45592,0.30323,1.27502,1.75347,1.54803,0.000898581,0.000898581,0.000898581
100,28645,0.70147,0.92367,1.13993,0.5943,0.41458,0.45789,0.30461,1.27295,1.749,1.54807,0.000829431,0.000829431,0.000829431
101,28928.1,0.71481,0.92774,1.14234,0.5781,0.42185,0.4608,0.30437,1.2725,1.74134,1.54535,0.000763174,0.000763174,0.000763174
102,29210.7,0.70995,0.92373,1.13349,0.56871,0.43151,0.45976,0.30528,1.27086,1.73961,1.54411,0.000699855,0.000699855,0.000699855
103,29493.3,0.70267,0.9094,1.13341,0.56645,0.44237,0.46212,0.30715,1.27147,1.7321,1.54374,0.000639518,0.000639518,0.000639518
104,29775.5,0.69789,0.90032,1.13829,0.55766,0.44647,0.46211,0.30756,1.26905,1.73223,1.54122,0.000582203,0.000582203,0.000582203
105,30057.5,0.6946,0.8869,1.12893,0.56262,0.43887,0.46119,0.30661,1.26863,1.73364,1.54189,0.00052795,0.00052795,0.00052795
106,30339.4,0.6968,0.89263,1.13824,0.57691,0.43449,0.46094,0.30695,1.26563,1.73082,1.53929,0.000476796,0.000476796,0.000476796
107,30621.6,0.69092,0.89595,1.13111,0.58105,0.43123,0.46283,0.30728,1.26586,1.72919,1.53788,0.000428777,0.000428777,0.000428777
108,30903.7,0.68934,0.87656,1.12442,0.58249,0.42908,0.46321,0.30671,1.26756,1.73378,1.5388,0.000383925,0.000383925,0.000383925
109,31185.8,0.68887,0.87841,1.12692,0.59306,0.42327,0.46377,0.30631,1.26619,1.73442,1.53689,0.00034227,0.00034227,0.00034227
110,31467.4,0.67826,0.87581,1.12006,0.58758,0.4284,0.46382,0.30679,1.26606,1.73612,1.53648,0.000303842,0.000303842,0.000303842
111,31749.3,0.69729,0.85527,1.13741,0.58195,0.43169,0.46218,0.30562,1.26828,1.74101,1.53921,0.000268667,0.000268667,0.000268667
112,32029.7,0.68121,0.82004,1.12559,0.57334,0.43148,0.46032,0.30534,1.27084,1.74796,1.54414,0.000236769,0.000236769,0.000236769
113,32310.2,0.67808,0.81077,1.12371,0.56553,0.43111,0.4604,0.30535,1.27152,1.75086,1.54676,0.000208169,0.000208169,0.000208169
114,32590.7,0.6754,0.80514,1.12006,0.5598,0.4349,0.45915,0.30427,1.27213,1.75803,1.54884,0.000182888,0.000182888,0.000182888
